	14	3167525	1	1.0	47
	14	8840076	1	1.0	46
	14	10272703	1	1.0	50
	14	15443026	1	1.0	35
	14	16941885	0	1.0	40
	14	18407280	1	1.0	45
	14	20064924	0	1.0	35
	14	20224236	0	1.0	50
	14	24346750	0	1.0	50
	14	25570549	1	1.0	50
	14	27120386	1	1.0	37
	14	30955065	0	1.0	44
	14	34653568	1	1.0	46
	14	36837575	0	1.0	36
	14	45554946	1	1.0	50
	14	49738983	1	1.0	41
	14	49999942	1	1.0	45
	14	54389291	0	1.0	50
	14	55287350	1	1.0	38
	14	55502058	0	1.0	50
	14	55518550	0	1.0	39
	14	56152103	1	1.0	50
	14	66833068	0	1.0	48
	14	68352742	0	1.0	43
	14	70228534	1	1.0	43
	14	70430103	0	1.0	50
	14	71243990	0	1.0	48
	14	72286140	0	1.0	41
	14	76720922	1	1.0	38
	14	78198961	0	1.0	50
	14	78717575	1	1.0	50
	14	81734872	0	1.0	50
	14	88502144	1	1.0	50
	14	88993421	0	1.0	50
	14	89013307	1	1.0	50
	14	90144545	1	1.0	46
	14	90614099	1	1.0	37
	14	91263086	0	1.0	50
	14	91445823	0	1.0	44
	14	91455366	1	1.0	50
	14	91467140	1	1.0	50
	14	94446738	0	1.0	50
	14	94697079	0	1.0	32
	14	99467663	0	1.0	46
	14	103003565	1	1.0	32
	14	105239873	0	1.0	50
	14	109291801	0	1.0	50
	14	110822648	0	1.0	46
	14	113502270	1	1.0	50
	14	116953253	1	1.0	50
	14	118926028	0	1.0	50
	14	120072471	1	1.0	50
	14	124075403	0	1.0	46
